artist_id,Name,Type,Popularity,Genres,Followers
47MpMsUfWtgyIIBEFOr4FE,Lunay,artist,68,"reggaeton, reggaeton flow, trap latino, urbano latino",8723613
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,artist,79,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino",22132529
4q3ewBCX7sLwd24euuV69X,Bad Bunny,artist,94,"reggaeton, trap latino, urbano latino",72659297
1bqxdqvUtPWZri43cKHac8,MAX,artist,65,"singer-songwriter pop, viral pop",828080
5eioJDe26lOqkAMbuhzZYs,Gzuz,artist,70,"deep german hip hop, german hip hop, hamburg hip hop",1358467
5qa31A9HySw3T7MKWI9bGg,FLETCHER,artist,63,"alt z, pop",809277
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,artist,75,"pop rap, seattle hip hop",2104615
3Isy6kedDrgPYoTS1dazA9,Sean Paul,artist,79,"dance pop, dancehall, pop, pop rap",4446421
2JyWXPbkqI5ZJa3gwqVa0c,Craig David,artist,62,british soul,863766
0NGAZxHanS9e0iNHpR8f2W,Alok,artist,77,"electro house, pop nacional, sertanejo universitario, slap house",12205506
0u2FHSq3ln94y5Q57xazwf,Keith Urban,artist,68,"australian country, australian pop, contemporary country, country, country road",5198841
21451j1KhjAiaYKflxBjr1,Zion & Lennox,artist,75,"reggaeton, urbano latino",7515681
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,artist,75,"disco, mellow gold, soft rock",7069594
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,artist,79,"alt z, electropop, pop",18029081
25uiPmTg16RbhZWAqwLBy5,Charli XCX,artist,76,"art pop, candy pop, metropopolis, pop, uk pop",2931000
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,artist,85,"modern rock, pop, rock",49510206
2urF8dgLVfDjunO0pcHUEe,Alvaro Soler,artist,65,latin pop,1731640
